scenarios,locs,techs,carriers,units,flow_out_sum
133,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2353595075.3924003
133,PRT_2,hydro_run_of_river,electricity,kilowatt hour,348097349.3742324
133,PRT_1,methane_boiler,heat,megajoule,250432349.49448994
133,PRT_2,methane_boiler,heat,megajoule,446655428.8927326
133,PRT_1,methane_storage,methane,unit,2879.19079276503
133,PRT_2,methane_storage,methane,unit,2845.0804088752957
133,PRT_1,open_field_pv,electricity,kilowatt hour,71990015062.58377
133,PRT_1,pumped_hydro,electricity,kilowatt hour,7018222358.1911335
133,PRT_2,pumped_hydro,electricity,kilowatt hour,1070106882.6747502
133,PRT_1,roof_mounted_pv,electricity,kilowatt hour,50455600.2934492
133,PRT_1,waste_supply,waste,kilowatt hour,1029966829.1367952
133,PRT_2,waste_supply,waste,kilowatt hour,1008052550.7645557
133,PRT_1,wind_offshore,electricity,kilowatt hour,197680313.6797441
133,PRT_1,wind_onshore,electricity,kilowatt hour,75689957146.06601
134,PRT_1,battery,electricity,kilogram,2513275085.7255597
134,PRT_2,battery,electricity,kilogram,4951942208.503936
134,PRT_1,biofuel_boiler,heat,megajoule,26879848.97154552
134,PRT_2,biofuel_boiler,heat,megajoule,290129110.3781205
134,PRT_1,biofuel_supply,biofuel,kilogram,216258115.28147772
134,PRT_2,biofuel_supply,biofuel,kilogram,870846884.7017833
134,PRT_1,biofuel_to_diesel,diesel,kilogram,143549106.1127249
134,PRT_2,biofuel_to_diesel,diesel,kilogram,138088300.1979213
134,PRT_1,biofuel_to_methane,methane,cubic meter,234049.9376130665
134,PRT_2,biofuel_to_methane,methane,cubic meter,17319938.074554868
134,PRT_1,biofuel_to_methanol,methanol,kilogram,3318524.0831913655
134,PRT_2,biofuel_to_methanol,methanol,kilogram,477089617.963533
134,PRT_1,ccgt,electricity,kilowatt hour,13430453.079677701
134,PRT_2,ccgt,electricity,kilowatt hour,14318987.739180699
134,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,23111944.4052284
134,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,111244006.0738799
134,PRT_1,chp_hydrogen,electricity,kilowatt hour,107904956.2978242
134,PRT_2,chp_hydrogen,electricity,kilowatt hour,108661954.6117178
134,PRT_1,chp_methane_extraction,electricity,kilowatt hour,53226548.4628867
134,PRT_2,chp_methane_extraction,electricity,kilowatt hour,56026038.6904599
134,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,233289173.7884315
134,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,228840747.06367418
134,ESP,el_import,electricity,kilowatt hour,10884538494.627264
134,PRT_1,electrolysis,hydrogen,kg,12962496727.046104
134,PRT_2,electrolysis,hydrogen,kg,6143323.419403155
134,PRT_1,existing_pv,electricity,kilowatt hour,1424410605.7820494
134,PRT_1,existing_wind,electricity,kilowatt hour,15574185603.114332
134,PRT_1,heat_storage_big,heat,unit,14722005.77754474
134,PRT_2,heat_storage_big,heat,unit,14162525.842137761
134,PRT_1,heat_storage_small,heat,unit,536573747.6405745
134,PRT_2,heat_storage_small,heat,unit,531680987.1740333
134,PRT_1,hydro_reservoir,electricity,kilowatt hour,2135385434.1789455
134,PRT_2,hydro_reservoir,electricity,kilowatt hour,384452284.61580837
134,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2219000869.2665143
134,PRT_2,hydro_run_of_river,electricity,kilowatt hour,324379631.0351655
134,PRT_1,methane_boiler,heat,megajoule,327113547.69972134
134,PRT_2,methane_boiler,heat,megajoule,423654446.72302526
134,PRT_1,methane_storage,methane,unit,2871.179326061049
134,PRT_2,methane_storage,methane,unit,2874.469892809625
134,PRT_1,open_field_pv,electricity,kilowatt hour,72835775160.7019
134,PRT_1,pumped_hydro,electricity,kilowatt hour,6399500249.714041
134,PRT_2,pumped_hydro,electricity,kilowatt hour,993426090.1653988
134,PRT_1,roof_mounted_pv,electricity,kilowatt hour,493955688.0847608
134,PRT_1,waste_supply,waste,kilowatt hour,1029707701.9105564
134,PRT_2,waste_supply,waste,kilowatt hour,1007793423.5384567
134,PRT_1,wind_offshore,electricity,kilowatt hour,329249684.3107161
134,PRT_1,wind_onshore,electricity,kilowatt hour,71273809363.91716
135,PRT_1,battery,electricity,kilogram,1027794549.7579107
135,PRT_2,battery,electricity,kilogram,4348013118.962428
135,PRT_1,biofuel_boiler,heat,megajoule,152977899.63068855
135,PRT_2,biofuel_boiler,heat,megajoule,12632158.26389484
135,PRT_1,biofuel_supply,biofuel,kilogram,271657832.1185369
135,PRT_2,biofuel_supply,biofuel,kilogram,199260635.9493286
135,PRT_1,biofuel_to_diesel,diesel,kilogram,144768108.07217
135,PRT_2,biofuel_to_diesel,diesel,kilogram,134856877.38621438
135,PRT_1,biofuel_to_methane,methane,cubic meter,6613466.783085289
135,PRT_2,biofuel_to_methane,methane,cubic meter,38168.464933958916
135,PRT_1,biofuel_to_methanol,methanol,kilogram,1942744.6211251777
135,PRT_2,biofuel_to_methanol,methanol,kilogram,2669203.742537119
135,PRT_1,ccgt,electricity,kilowatt hour,8411673.4350255
135,PRT_2,ccgt,electricity,kilowatt hour,8519545.660437
